Sr,Name,Material Code,Material Name,Material Group,Marerial New Group,Has Serial No,Customer Code
271,103718,103718,Air Filter Set (Inner-ID202373 & Outer-ID202372) for Eicher Bus,Consumable,Motor Vehicle Stores & Spares (GAD),0,
272,103717,103717,Water Separator for Eicher Bus,Consumable,Motor Vehicle Stores & Spares (GAD),0,
273,103716,103716,Fuel Filter for Eicher Bus,Consumable,Motor Vehicle Stores & Spares (GAD),0,
274,103715,103715,Engine Oil Filter for Eicher Bus,Consumable,Motor Vehicle Stores & Spares (GAD),0,
275,103712,103712,Container Set,Consumable,Other Miscelleanous Stores & Spares,0,
276,103711,103711,Curry Bowl,Consumable,Other Miscelleanous Stores & Spares,0,
277,103710,103710,Chopping Board,Consumable,Other Miscelleanous Stores & Spares,0,
278,103709,103709,Non-Sticky Curry Pot,Consumable,Other Miscelleanous Stores & Spares,0,
279,103708,103708,Aluminum Tea Pot,Consumable,Other Miscelleanous Stores & Spares,0,
280,103707,103707,Hand Towel,Consumable,Other Miscelleanous Stores & Spares,0,
281,103706,103706,Steel Ladle (Medium),Consumable,Other Miscelleanous Stores & Spares,0,
282,103705,103705,Steel Ladle (Small),Consumable,Other Miscelleanous Stores & Spares,0,
283,103704,103704,Gas Bunner,Consumable,Other Miscelleanous Stores & Spares,0,
